spacer,5'flank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,3'flank
ch285_read54,0.930348259,0,0.4375,0.84375,0.9375,0.9375,0.96875,0.0625,0.875,0.84375,1,0.875,0.78125,0.96875,0.96875,0.96875,0.875,0.875,0.875,0.8125,0.96875,1,0.90625,0.6875,1,0.875,0.96875,0.59375,0.875,0.875,0.875,0.96875,0.875,0.9375,1,0.71875,0.90625,0.90625,1,0.78125,0.75,1,0.75,1,0.875,0.84375,0.65625,0.96875,0.84375,0.34375,0.96875,0.90625,1,0.84375,0
ch287_read26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ch288_read9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ch295_read67,0.925373134,0.9375,0.375,0.875,0.90625,0.625,0.78125,0.875,0.75,0.96875,1,0.84375,0.9375,0.875,0.9375,0.9375,0.78125,0.8125,0.96875,0.90625,0.8125,0.9375,0.96875,0.9375,1,0.875,0.96875,0.96875,0.96875,0.90625,0.90625,0.90625,1,0.9375,0.875,0.96875,1,0.96875,0.8125,0.9375,0.875,0.90625,0.9375,0.96875,0.9375,0.9375,0.9375,1,1,0.90625,1,0.8125,0.96875,0.9375,0.845771144
ch299_read32,0.970149254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.9375,0.9375,0.96875,0.90625,0.96875,1,0.875,0.8125,0.90625,0.9375,0.84375,0.78125,0.9375,0.96875,0.78125,1,0.90625,0.9375,0.90625,0.96875,0.90625,0.75,0.90625,1,0.96875,0.84375,0.9375,0.875,0.9375,0.875,0.8125,0.9375,0
ch301_read49,0.935323383,0,0.875,0.96875,0.90625,0.875,1,0.9375,0.96875,0.9375,1,0.875,0.875,0.90625,0.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0.9375,0.96875,0.75,0.90625,0.875,1,0.9375,0.90625,0.78125,0.96875,0.860696517
ch70_read41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ch72_read38,0.930348259,0,0.875,0.8125,0.875,0.90625,0.90625,0.90625,0.96875,0.9375,0.90625,0.90625,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76119403
ch77_read59,0.925373134,0,1,1,0.9375,0.90625,0.90625,0.96875,0.6875,0.96875,0.9375,0.84375,0.90625,0.90625,0.84375,1,0.8125,0.78125,0.84375,0.84375,0.9375,0.875,0.90625,0.9375,0.28125,0.875,0.84375,0.8125,0.9375,0.9375,0.875,0.90625,0.96875,0.96875,0.9375,0.90625,0.78125,0.9375,0.9375,0.96875,0.78125,1,1,0.96875,1,0.9375,0.84375,0.9375,0.96875,0.875,0.8125,0.84375,0.96875,0.875,0.741293532
ch82_read77,0.950248756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0.90625,0.875,0.84375,0.90625,0.90625,0.96875,1,0.8125,0.78125,0.9375,0.96875,0.84375,1,1,0.78125,0.875,0.96875,1,0.9375,1,1,0.96875,1,0.90625,0.84375,0.84375,0.90625,0.96875,0.9375,1,0.9375,0.84375,0.96875,0.96875,0.9375,0.9375,0.84375,0.96875,0.84079602
